name	location	url	type	coordinates	description
Gateway Arch National Park	Missouri	https://en.wikipedia.org/wiki/Gateway_Arch_National_Park	National parks	38.62460; -90.18497	Gateway Arch National Park is an American national park located in St.  Louis, Missouri, near the starting point of the Lewis and Clark Expedition.
Glacier National Park (part of Waterton–Glacier International Peace Park)	Montana	https://en.wikipedia.org/wiki/Glacier_National_Park_(U.S.)	National parks	48.68306; -113.80031	Unknown
Glacier Bay National Park	Alaska	https://en.wikipedia.org/wiki/Glacier_Bay_National_Park_and_Preserve	National parks	58.500; -137.000	Glacier Bay National Park and Preserve is an American national park located in Southeast Alaska west of Juneau.  President Calvin Coolidge proclaimed the area around Glacier Bay a national monument under the Antiquities Act on February 26, 1925.
Grand Canyon National Park	Arizona	https://en.wikipedia.org/wiki/Grand_Canyon_National_Park	National parks	36.0552608; -112.1218355	Grand Canyon National Park, located in northwestern Arizona, is the 15th site in the United States to have been named as a national park.  The park's central feature is the Grand Canyon, a gorge of the Colorado River, which is often considered one of the Wonders of the World.
Grand Teton National Park	Wyoming	https://en.wikipedia.org/wiki/Grand_Teton_National_Park	National parks	43.83333; -110.70083	Unknown
Great Basin National Park	Nevada	https://en.wikipedia.org/wiki/Great_Basin_National_Park	National parks	39.00581; -114.21969	Great Basin National Park is an American national park located in White Pine County in east-central Nevada, near the Utah border, established in 1986.  The park is most commonly entered by way of Nevada State Route 488, which is connected to U.
Great Sand Dunes National Park	Colorado	https://en.wikipedia.org/wiki/Great_Sand_Dunes_National_Park_and_Preserve	National parks	37.732870; -105.512120	Great Sand Dunes National Park and Preserve is an American national park that conserves an area of large sand dunes up to 750 feet (230 m) tall[5] on the eastern edge of the San Luis Valley, and an adjacent national preserve in the Sangre de Cristo Range, in south-central Colorado, United States. [6] The park was originally designated Great Sand Dunes National Monument on March 17, 1932, by President Herbert Hoover.
Great Smoky Mountains National Park	North Carolina, Tennessee	https://en.wikipedia.org/wiki/Great_Smoky_Mountains_National_Park	National parks	35.600; -83.517	Great Smoky Mountains National Park is an American national park in the southeastern United States, with parts in North Carolina and Tennessee.  The park straddles the ridgeline of the Great Smoky Mountains, part of the Blue Ridge Mountains, which are a division of the larger Appalachian Mountain chain.
Guadalupe Mountains National Park	Texas	https://en.wikipedia.org/wiki/Guadalupe_Mountains_National_Park	National parks	31.917; -104.867	Guadalupe Mountains National Park is an American national park in the Guadalupe Mountains, east of El Paso, Texas.  The mountain range includes Guadalupe Peak, the highest point in Texas at 8,751 feet (2,667 m), and El Capitan used as a landmark by travelers on the route later followed by the Butterfield Overland Mail stagecoach line.
Haleakalā National Park	Hawaii	https://en.wikipedia.org/wiki/Haleakal%C4%81_National_Park	National parks	20.71667; -156.16667	Haleakalā National Park is an American national park located on the island of Maui in the state of Hawaii.  Named after Haleakalā, a dormant volcano within its boundaries, the park covers an area of 33,265 acres (52.0 sq mi; 134.6 km2),[1] of which 24,719 acres (38.6 sq mi; 100.0 km2) is a wilderness area.
Hawaii Volcanoes National Park	Hawaii	https://en.wikipedia.org/wiki/Hawaii_Volcanoes_National_Park	National parks	19.383; -155.200	Hawaiʻi Volcanoes National Park is an American national park located in the U. S.
Hot Springs National Park	Arkansas	https://en.wikipedia.org/wiki/Hot_Springs_National_Park	National parks	34.51361; -93.05361	Hot Springs National Park is an American national park in central Garland County, Arkansas, adjacent to the city of Hot Springs, the county seat.  Hot Springs Reservation was initially created by an act of the United States Congress on April 20, 1832, to be preserved for future recreation.
Indiana Dunes National Park	Indiana	https://en.wikipedia.org/wiki/Indiana_Dunes_National_Park	National parks	41.64806; -87.10806	Indiana Dunes National Park is a United States national park located in northwestern Indiana managed by the National Park Service.  It was authorized by Congress in 1966 as the Indiana Dunes National Lakeshore and was redesignated as the nation's 61st national park on February 15, 2019.
Isle Royale National Park	Michigan	https://en.wikipedia.org/wiki/Isle_Royale_National_Park	National parks	48.01; -88.85	Isle Royale National Park is an American national park consisting of Isle Royale – known as Minong to the native Ojibwe[4] – along with more than 400 small adjacent islands and the surrounding waters of Lake Superior, in the state of Michigan..
Joshua Tree National Park	California	https://en.wikipedia.org/wiki/Joshua_Tree_National_Park	National parks	34.1; -116.27	Joshua Tree National Park is an American national park in southeastern California, east of San Bernardino and Los Angeles and north of Palm Springs.  It is named after the Joshua trees (Yucca brevifolia) native to the Mojave Desert.
Katmai National Park	Alaska	https://en.wikipedia.org/wiki/Katmai_National_Park_and_Preserve	National parks	58.5; -155	Katmai National Park and Preserve is an American national park and preserve in southwest Alaska, notable for the Valley of Ten Thousand Smokes and for its brown bears.  The park and preserve encompass 4,093,077 acres (6,395.43 sq mi; 16,564.09 km2), which is between the sizes of Connecticut and New Jersey.
Kenai Fjords National Park	Alaska	https://en.wikipedia.org/wiki/Kenai_Fjords_National_Park	National parks	59.91778; -149.98750	Kenai Fjords National Park is an American national park that maintains the Harding Icefield, its outflowing glaciers, and coastal fjords and islands.  The park covers an area of 669,984 acres (1,046.9 sq mi; 2,711.3 km2)[1] on the Kenai Peninsula in south-central Alaska, west of the town of Seward.
Kings Canyon National Park	California	https://en.wikipedia.org/wiki/Kings_Canyon_National_Park	National parks	36.78928; -118.67286	Kings Canyon National Park is an American national park in the southern Sierra Nevada, in Fresno and Tulare Counties, California.  Originally established in 1890 as General Grant National Park, the park was greatly expanded and renamed to Kings Canyon National Park on March 4, 1940.
Kobuk Valley National Park	Alaska	https://en.wikipedia.org/wiki/Kobuk_Valley_National_Park	National parks	67.550; -159.283	Kobuk Valley National Park is an American national park in the Arctic region of northwestern Alaska, located about 25 miles (40 km) north of the Arctic Circle.  The park was designated in 1980 by the Alaska National Interest Lands Conservation Act to preserve the 100 ft (30 m) high Great Kobuk Sand Dunes[3] and the surrounding area which includes caribou migration routes.
Lake Clark National Park	Alaska	https://en.wikipedia.org/wiki/Lake_Clark_National_Park_and_Preserve	National parks	60.967; -153.417	Lake Clark National Park and Preserve is an American national park in southwest Alaska, about 100 miles (160 km) southwest of Anchorage.  The park was first proclaimed a national monument in 1978, then established as a national park and preserve in 1980 by the Alaska National Interest Lands Conservation Act.
Lassen Volcanic National Park	California	https://en.wikipedia.org/wiki/Lassen_Volcanic_National_Park	National parks	40.49806; -121.42750	Lassen Volcanic National Park is an American national park in northeastern California.  The dominant feature of the park is Lassen Peak, the largest plug dome volcano in the world and the southernmost volcano in the Cascade Range.
Mammoth Cave National Park	Kentucky	https://en.wikipedia.org/wiki/Mammoth_Cave_National_Park	National parks	37.18694; -86.10111	Mammoth Cave National Park is a national park in south-central Kentucky, encompassing portions of Mammoth Cave, the longest cave system known in the world.  The park's 52,830 acres (21,380 ha) are located primarily in Edmonson County, with small areas extending eastward into Hart and Barren counties.
Mesa Verde National Park	Colorado	https://en.wikipedia.org/wiki/Mesa_Verde_National_Park	National parks	37.183784; -108.488687	Unknown
Mount Rainier National Park	Washington	https://en.wikipedia.org/wiki/Mount_Rainier_National_Park	National parks	46.850; -121.750	Mount Rainier National Park is an American national park located in southeast Pierce County and northeast Lewis County in Washington state. [3] The park was established on March 2, 1899, as the fourth national park in the United States, preserving 236,381 acres (369.3 sq mi; 956.6 km2)[1] including all of Mount Rainier, a 14,410-foot (4,390 m) stratovolcano.
New River Gorge National Park and Preserve	West Virginia	https://en.wikipedia.org/wiki/New_River_Gorge_National_Park_and_Preserve	National parks	37.96083; -81.08167	The New River Gorge National Park and Preserve is a unit of the United States National Park Service (NPS) designed to protect and maintain the New River Gorge in southern West Virginia in the Appalachian Mountains.   Established in 1978 as a national river and redesignated in 2020, the park and preserve stretches for 53 miles (85 km) from just downstream of Hinton to Hawks Nest State Park near Ansted.
North Cascades National Park	Washington	https://en.wikipedia.org/wiki/North_Cascades_National_Park	National parks	48.83278; -121.34750	Unknown
Olympic National Park	Washington	https://en.wikipedia.org/wiki/Olympic_National_Park	National parks	47.96935; -123.49856	Olympic National Park is a United States national park located in the State of Washington, on the Olympic Peninsula. [3] The park has four regions: the Pacific coastline, alpine areas, the west-side temperate rainforest, and the forests of the drier east side.
Petrified Forest National Park	Arizona	https://en.wikipedia.org/wiki/Petrified_Forest_National_Park	National parks	35.08806; -109.80639	Unknown
Pinnacles National Park	California	https://en.wikipedia.org/wiki/Pinnacles_National_Park	National parks	36.48694; -121.16694	Pinnacles National Park is an American national park protecting a mountainous area located east of the Salinas Valley in Central California, about five miles (8.0 km) east of Soledad and 80 miles (130 km) southeast of San Jose.  The park's namesakes are the eroded leftovers of the western half of an extinct volcano that has moved 200 miles (320 km) from its original location on the San Andreas Fault, embedded in a portion of the California Pacific Coast Ranges.
Redwood National and State Parks	California	https://en.wikipedia.org/wiki/Redwood_National_and_State_Parks	National parks	41.3; -124	Unknown
Rocky Mountain National Park	Colorado	https://en.wikipedia.org/wiki/Rocky_Mountain_National_Park	National parks	40.33333; -105.70889	Rocky Mountain National Park is an American national park located approximately 55 mi (89 km) northwest of Denver[5] in north-central Colorado, within the Front Range of the Rocky Mountains.  The park is situated between the towns of Estes Park to the east and Grand Lake to the west.
Saguaro National Park	Arizona	https://en.wikipedia.org/wiki/Saguaro_National_Park	National parks	32.17917; -110.73694	Unknown
Sequoia National Park	California	https://en.wikipedia.org/wiki/Sequoia_National_Park	National parks	36.564; -118.773	Sequoia National Park is an American national park in the southern Sierra Nevada east of Visalia, California.  The park was established on September 25, 1890, and today protects 404,064 acres (631 sq mi; 163,519 ha; 1,635 km2)[2] of forested mountainous terrain.
Shenandoah National Park	Virginia	https://en.wikipedia.org/wiki/Shenandoah_National_Park	National parks	38.533; -78.350	Shenandoah National Park /ˈʃɛnənˌdoʊə/ (often /ˈʃænənˌdoʊə/) is an American national park that encompasses part of the Blue Ridge Mountains in the Commonwealth of Virginia.  The park is long and narrow, with the Shenandoah River and its broad valley to the west, and the rolling hills of the Virginia Piedmont to the east.
Theodore Roosevelt National Park	North Dakota	https://en.wikipedia.org/wiki/Theodore_Roosevelt_National_Park	National parks	46.967; -103.450	Theodore Roosevelt National Park is an American national park of the badlands in western North Dakota comprising three geographically separated areas.  Honoring U.
Virgin Islands National Park	U.S. Virgin Islands	https://en.wikipedia.org/wiki/Virgin_Islands_National_Park	National parks	18.33333; -64.73333	The Virgin Islands National Park is an American national park preserving about 60% of the land area of Saint John in the United States Virgin Islands, as well as more than 5,500 acres (2,226 ha; 9 sq mi) of adjacent ocean, and nearly all of Hassel Island, just off the Charlotte Amalie, Saint Thomas harbor..
Voyageurs National Park	Minnesota	https://en.wikipedia.org/wiki/Voyageurs_National_Park	National parks	48.500; -92.883	Voyageurs National Park is an American national park in northern Minnesota near the city of International Falls established in 1975.  The park's name commemorates the voyageurs—French-Canadian fur traders who were the first European settlers to frequently travel through the area.
White Sands National Park	New Mexico	https://en.wikipedia.org/wiki/White_Sands_National_Park	National parks	32.77917; -106.17194	White Sands National Park is an American national park located in the state of New Mexico and completely surrounded by the White Sands Missile Range.  The park covers 145,762 acres (227.8 sq mi; 589.9 km2) in the Tularosa Basin, including the southern 41% of a 275 sq mi (710 km2) field of white sand dunes composed of gypsum crystals.
Wind Cave National Park	South Dakota	https://en.wikipedia.org/wiki/Wind_Cave_National_Park	National parks	43.55635; -103.47865	Wind Cave National Park is an American national park located 10 miles (16 km) north of the town of Hot Springs in western South Dakota.  Established on January 3, 1903[3] by President Theodore Roosevelt, it was the sixth national park in the U.
Wrangell–St. Elias National Park	Alaska	https://en.wikipedia.org/wiki/Wrangell%E2%80%93St._Elias_National_Park_and_Preserve	National parks	61.43500; -142.95361	Wrangell–St.  Elias National Park and Preserve is an American national park and preserve managed by the National Park Service in south central Alaska.
Yellowstone National Park	Idaho, Montana, Wyoming	https://en.wikipedia.org/wiki/Yellowstone_National_Park	National parks	44.59639; -110.54722	Unknown
Yosemite National Park	California	https://en.wikipedia.org/wiki/Yosemite_National_Park	National parks	37.74250; -119.53750	Unknown
Zion National Park	Utah	https://en.wikipedia.org/wiki/Zion_National_Park	National parks	37.300; -113.000	Unknown
Abraham Lincoln National Park	Unknown	https://en.wikipedia.org/wiki/Abraham_Lincoln_National_Park	National parks	37.53139; -85.73611	Abraham Lincoln Birthplace National Historical Park is a designated U. S.
Fort McHenry National Park	Unknown	https://en.wikipedia.org/wiki/Fort_McHenry	National parks	39.263417; -76.579750	Fort McHenry is a historical American coastal pentagonal bastion fort on Locust Point, now a neighborhood of Baltimore, Maryland.  It is best known for its role in the War of 1812, when it successfully defended Baltimore Harbor from an attack by the British navy from the Chesapeake Bay on September 13–14, 1814.
General Grant National Park	Unknown	https://en.wikipedia.org/wiki/General_Grant_National_Park	National parks	36.74667; -118.97583	General Grant Grove, a section of the greater Kings Canyon National Park, was established by the U. S.
Hawaii National Park	Unknown	https://en.wikipedia.org	National parks	Unknown	The Providence and Worcester Railroad (P&W) is an American Class II railroad operating 612 miles (985 km) of tracks in Rhode Island, Massachusetts, Connecticut, and New York.  It was formed in 1844 to connect its eponymous cities, and ran its first trains in 1847.
Mackinac National Park	Unknown	https://en.wikipedia.org/wiki/Mackinac_National_Park	National parks	45.86666; -84.61666	Mackinac National Park was a United States national park that existed from 1875 to 1895 on Mackinac Island in northern Michigan, making it the second U. S.
Platt National Park	Unknown	https://en.wikipedia.org/wiki/Platt_National_Park	National parks	34.50056; -96.97222	Chickasaw National Recreation Area is a national recreation area in the foothills of the Arbuckle Mountains in south-central Oklahoma near Sulphur in Murray County.  It includes the former Platt National Park and Arbuckle Recreation Area.
Rock Creek Park	Unknown	https://en.wikipedia.org/wiki/Rock_Creek_Park	National parks	38.95750; -77.04500	Rock Creek Park is a large urban park that bisects the Northwest quadrant of Washington, D. C.
Sullys Hill National Park	Unknown	https://en.wikipedia.org	National parks	Unknown	The Providence and Worcester Railroad (P&W) is an American Class II railroad operating 612 miles (985 km) of tracks in Rhode Island, Massachusetts, Connecticut, and New York.  It was formed in 1844 to connect its eponymous cities, and ran its first trains in 1847.
African Burial Ground National Monument	New York	https://en.wikipedia.org/wiki/African_Burial_Ground_National_Monument	National monuments	40.71444; -74.00444	African Burial Ground National Monument is a monument at Duane Street and African Burial Ground Way (Elk Street) in the Civic Center section of Lower Manhattan, New York City.  Its main building is the Ted Weiss Federal Building at 290 Broadway.
Agate Fossil Beds National Monument	Nebraska	https://en.wikipedia.org/wiki/Agate_Fossil_Beds_National_Monument	National monuments	42.421703; -103.75388	Agate Fossil Beds National Monument is a U. S.
Alibates Flint Quarries National Monument	Texas	https://en.wikipedia.org/wiki/Alibates_Flint_Quarries_National_Monument	National monuments	35.575045; -101.6837868	Alibates Flint Quarries National Monument is a U. S.
Aniakchak National Monument and Preserve	Alaska	https://en.wikipedia.org/wiki/Aniakchak_National_Monument_and_Preserve	National monuments	56.833; -158.250	Aniakchak National Monument and Preserve is a U. S.
Aztec Ruins National Monument	New Mexico	https://en.wikipedia.org/wiki/Aztec_Ruins_National_Monument	National monuments	36.8358370; -107.9981235	The Aztec Ruins National Monument in northwestern New Mexico, USA, consists of preserved structures constructed by the Pueblo Indians.  The national monument lies on the western bank of the Animas River in Aztec, New Mexico, about 12 miles (19 km) northeast of Farmington.
Bandelier National Monument	New Mexico	https://en.wikipedia.org/wiki/Bandelier_National_Monument	National monuments	35.77889; -106.32111	Bandelier National Monument is a 33,677-acre (13,629 ha) United States National Monument near Los Alamos in Sandoval and Los Alamos counties, New Mexico.   The monument preserves the homes and territory of the Ancestral Puebloans of a later era in the Southwest.
Belmont–Paul Women's Equality National Monument	District of Columbia	https://en.wikipedia.org/wiki/Belmont%E2%80%93Paul_Women%27s_Equality_National_Monument	National monuments	38.89194; -77.00361	The Belmont–Paul Women's Equality National Monument (formerly the Sewall House (1800–1929), Alva Belmont House (1929–1972), and the Sewall–Belmont House and Museum (1972–2016)) is a historic house and museum of the U. S.
Birmingham Civil Rights National Monument	Alabama	https://en.wikipedia.org/wiki/Birmingham_Civil_Rights_National_Monument	National monuments	33.51528; -86.81472	The Birmingham Civil Rights National Monument is a United States National Monument in Birmingham, Alabama established in 2017 to preserve and commemorate the work of the 1963 Birmingham campaign, its Children's Crusade, and other Civil Rights Movement events and actions.  The monument is administered by the National Park Service.
Booker T. Washington National Monument	Virginia	https://en.wikipedia.org/wiki/Booker_T._Washington_National_Monument	National monuments	37.1196056; -79.7315139	The Booker T.  Washington National Monument is a National Monument near the community of Hardy, Virginia, and is located entirely in rural Franklin County, Virginia.
Buck Island Reef National Monument	U.S. Virgin Islands	https://en.wikipedia.org/wiki/Buck_Island_Reef_National_Monument	National monuments	17.78694; -64.61916	Buck Island Reef National Monument protects Buck Island, a small, uninhabited 176-acre (712,000 m²) island about 1.5 miles (2.4 km) north of the northeast coast of Saint Croix, U. S.
Cabrillo National Monument	California	https://en.wikipedia.org/wiki/Cabrillo_National_Monument	National monuments	32.67306; -117.23861	Cabrillo National Monument (Spanish: Monumento nacional Cabrillo) is at the southern tip of the Point Loma Peninsula in San Diego, California, United States.  It commemorates the landing of Juan Rodríguez Cabrillo at San Diego Bay on September 28, 1542.
Camp Nelson National Monument	Kentucky	https://en.wikipedia.org/wiki/Camp_Nelson_Heritage_National_Monument	National monuments	37.78778; -84.59806	Camp Nelson National Monument, formerly the Camp Nelson Civil War Heritage Park, is a 525-acre (2.12 km2) national monument, historical museum and park located in southern Jessamine County, Kentucky, United States, 20 miles (32 km) south of Lexington, Kentucky.  The American Civil War era camp was established in 1863 as a depot for the Union Army during the Civil War.
Canyon de Chelly National Monument	Arizona	https://en.wikipedia.org/wiki/Canyon_de_Chelly_National_Monument	National monuments	36.155281; -109.508995	Canyon de Chelly National Monument (/dəˈʃeɪ/ də-SHAY) was established on April 1, 1931, as a unit of the National Park Service.  Located in northeastern Arizona, it is within the boundaries of the Navajo Nation and lies in the Four Corners region.
Cape Krusenstern National Monument and Archeological District	Alaska	https://en.wikipedia.org/wiki/Cape_Krusenstern_National_Monument_and_Archeological_District	National monuments	67.333; -163.583	Cape Krusenstern National Monument and the colocated Cape Krusenstern Archeological District is a U. S.
Capulin Volcano National Monument	New Mexico	https://en.wikipedia.org/wiki/Capulin_Volcano_National_Monument	National monuments	36.78222; -103.97000	Capulin Volcano National Monument is a U. S.
Casa Grande Ruins National Monument	Arizona	https://en.wikipedia.org/wiki/Casa_Grande_Ruins_National_Monument	National monuments	32.9970051; -111.5320692	Casa Grande Ruins National Monument (O'odham: Siwañ Waʼa Ki: or Sivan Vahki[5]), in Coolidge, Arizona, just north-east of the city of Casa Grande, preserves a group of Hohokam structures dating to the Classic Period (1150–1450 CE)..
Castillo de San Marcos National Monument	Florida	https://en.wikipedia.org/wiki/Castillo_de_San_Marcos	National monuments	29.89778; -81.31139	"The Castillo de San Marcos (Spanish for ""St.  Mark's Castle"") is the oldest masonry fort in the continental United States; it is located on the western shore of Matanzas Bay in the city of St."
Castle Clinton National Monument	New York	https://en.wikipedia.org/wiki/Castle_Clinton	National monuments	40.7035; -74.0168	Unknown
Castle Mountains National Monument	California	https://en.wikipedia.org/wiki/Castle_Mountains_National_Monument	National monuments	35.25; -115.11	Castle Mountains National Monument is a U. S.
Cedar Breaks National Monument	Utah	https://en.wikipedia.org/wiki/Cedar_Breaks_National_Monument	National monuments	37.6424776; -112.8488318	Cedar Breaks National Monument is a U. S.
César E. Chávez National Monument	California	https://en.wikipedia.org/wiki/C%C3%A9sar_E._Ch%C3%A1vez_National_Monument	National monuments	35.2273; -118.5614	César E.  Chávez National Monument,[3] also known as Nuestra Señora Reina de la Paz, is a 116-acre (47 ha) U.
Charles Young Buffalo Soldiers National Monument	Ohio	https://en.wikipedia.org/wiki/Charles_Young_Buffalo_Soldiers_National_Monument	National monuments	39.707252; -83.890227	The Charles Young Buffalo Soldiers National Monument, a National Monument of the United States, commemorates the life of Charles Young (1864-1922), an escaped slave who rose to become a Buffalo Soldier in the United States Army and its first African-American colonel.   It is located on United States Route 42 in Wilberforce, Ohio, in a house purchased by Young in 1907 that was designated a National Historic Landmark in 1974.
Chiricahua National Monument	Arizona	https://en.wikipedia.org/wiki/Chiricahua_National_Monument	National monuments	32.00569; -109.35672	Chiricahua National Monument is a unit of the National Park System located in the Chiricahua Mountains of southeastern Arizona.  The monument was  established on April 18, 1924, to protect its extensive hoodoos and balancing rocks.
Colorado National Monument	Colorado	https://en.wikipedia.org/wiki/Colorado_National_Monument	National monuments	39.04250; -108.68611	Colorado National Monument is a National Park Service unit near the city of Grand Junction, Colorado.  Sheer-walled canyons cut deep into sandstone and granite–gneiss–schist rock formations.
Craters of the Moon National Monument and Preserve	Idaho	https://en.wikipedia.org/wiki/Craters_of_the_Moon_National_Monument_and_Preserve	National monuments	43.46167; -113.56271	Unknown
Devils Postpile National Monument	California	https://en.wikipedia.org/wiki/Devils_Postpile_National_Monument	National monuments	37.62444; -119.08444	Devils Postpile National Monument is a U. S.
Devils Tower National Monument	Wyoming	https://en.wikipedia.org/wiki/Devils_Tower_National_Monument	National monuments	44.59056; -104.71528	Devils Tower (also known as Bear Lodge Butte)[8] is a butte, possibly laccolithic, composed of igneous rock in the Bear Lodge Ranger District of the Black Hills, near Hulett and Sundance in Crook County, northeastern Wyoming, above the Belle Fourche River.  It rises 1,267 feet (386 m) above the Belle Fourche River, standing 867 feet (264 m) from summit to base.
Dinosaur National Monument	Utah, Colorado	https://en.wikipedia.org/wiki/Dinosaur_National_Monument	National monuments	40.533; -108.983	Dinosaur National Monument is an American national monument located on the southeast flank of the Uinta Mountains[4] on the border between Colorado and Utah at the confluence of the Green and Yampa rivers.  Although most of the monument area is in Moffat County, Colorado, the Dinosaur Quarry is located in Utah, north of the town of Jensen, Utah.
Effigy Mounds National Monument	Iowa	https://en.wikipedia.org/wiki/Effigy_Mounds_National_Monument	National monuments	43.0888; -91.1856	"Effigy Mounds National Monument preserves more than 200 prehistoric mounds built by pre-Columbian
Mound Builder cultures, mostly in the first millennium CE, during the later part of the  Woodland period of pre-Columbian North America. 
Numerous effigy mounds are shaped like animals, including bears and birds."
El Malpais National Monument	New Mexico	https://en.wikipedia.org/wiki/El_Malpais_National_Monument	National monuments	34.87722; -108.05083	El Malpais National Monument is a National Monument located in western New Mexico, in the Southwestern United States. [3] The name El Malpais is from the Spanish term Malpaís, meaning badlands, due to the extremely barren and dramatic volcanic field that covers much of the park's area.
El Morro National Monument	New Mexico	https://en.wikipedia.org/wiki/El_Morro_National_Monument	National monuments	35.03833; -108.35333	El Morro National Monument is a U. S.
Florissant Fossil Beds National Monument	Colorado	https://en.wikipedia.org/wiki/Florissant_Fossil_Beds_National_Monument	National monuments	38.914; -105.287	The Florissant Formation is a sedimentary geologic formation outcropping around Florissant, Teller County, Colorado.  The formation is noted for the abundant and exceptionally preserved insect and plant fossils that are found in the mudstones and shales.
